A		SACRAMENTO
B		DEER_CR_NR_SMARTVILLE
C		FLOW-UNREG
E		
F		ALT-AUGMENTED-MERGED
Units		CFS
Type		PER-AVER
952	10May1894	532.0
953	11May1894	520.0
954	12May1894	508.0
955	13May1894	508.0
956	14May1894	564.0
957	15May1894	656.0
958	16May1894	564.0
959	17May1894	520.0
960	18May1894	496.0
961	19May1894	508.0
962	20May1894	508.0
963	21May1894	496.0
964	22May1894	488.0
965	23May1894	480.0
966	24May1894	480.0
967	25May1894	468.0
968	26May1894	508.0
969	27May1894	532.0
970	28May1894	508.0
971	29May1894	480.0
972	30May1894	468.0
973	31May1894	468.0
974	01Jun1894	488.0
975	02Jun1894	468.0
976	03Jun1894	480.0
977	04Jun1894	508.0
978	05Jun1894	704.0
979	06Jun1894	596.0
980	07Jun1894	540.0
981	08Jun1894	508.0
982	09Jun1894	488.0
983	10Jun1894	468.0
984	11Jun1894	456.0
985	12Jun1894	440.0
986	13Jun1894	428.0
987	14Jun1894	416.0
988	15Jun1894	408.0
989	16Jun1894	399.2
990	17Jun1894	408.0
991	18Jun1894	399.2
992	19Jun1894	390.4
993	20Jun1894	381.6
994	21Jun1894	372.8
995	22Jun1894	346.4
996	23Jun1894	346.4
997	24Jun1894	346.4
998	25Jun1894	337.6
999	26Jun1894	328.8
1000	27Jun1894	328.8
1001	28Jun1894	320.0
1002	29Jun1894	320.0
1003	30Jun1894	320.0
1004	01Jul1894	304.8
1005	02Jul1894	304.8
1006	03Jul1894	297.2
1007	04Jul1894	297.2
1008	05Jul1894	297.2
1009	06Jul1894	289.6
1010	07Jul1894	289.6
1011	08Jul1894	282.0
1012	09Jul1894	282.0
1013	10Jul1894	274.8
1014	11Jul1894	274.8
1015	12Jul1894	274.8
1016	13Jul1894	274.8
1017	14Jul1894	274.8
1018	15Jul1894	267.6
1019	16Jul1894	267.6
1020	17Jul1894	267.6
1021	18Jul1894	267.6
1022	19Jul1894	267.6
1023	20Jul1894	267.6
1024	21Jul1894	267.6
1025	22Jul1894	267.6
1026	23Jul1894	267.6
1027	24Jul1894	260.4
1028	25Jul1894	253.2
1029	26Jul1894	253.2
1030	27Jul1894	253.2
1031	28Jul1894	246.0
1032	29Jul1894	246.0
1033	30Jul1894	246.0
1034	31Jul1894	246.0
1035	01Aug1894	246.0
1036	02Aug1894	246.0
1037	03Aug1894	246.0
1038	04Aug1894	239.2
1039	05Aug1894	239.2
